Antall datapunkter: 101
X: -5.000, Y: 25.000, Z: 0.000, r: 1.000, g: 0.000, b: 0.000
X: -4.900, Y: 24.010, Z: 0.000, r: 1.000, g: 0.000, b: 0.000
X: -4.800, Y: 23.040, Z: 0.000, r: 1.000, g: 0.000, b: 0.000
X: -4.700, Y: 22.090, Z: 0.000, r: 1.000, g: 0.000, b: 0.000
X: -4.600, Y: 21.160, Z: 0.000, r: 1.000, g: 0.000, b: 0.000
X: -4.500, Y: 20.250, Z: 0.000, r: 1.000, g: 0.000, b: 0.000
X: -4.400, Y: 19.360, Z: 0.000, r: 1.000, g: 0.000, b: 0.000
X: -4.300, Y: 18.490, Z: 0.000, r: 1.000, g: 0.000, b: 0.000
X: -4.200, Y: 17.640, Z: 0.000, r: 1.000, g: 0.000, b: 0.000
X: -4.100, Y: 16.810, Z: 0.000, r: 1.000, g: 0.000, b: 0.000
X: -4.000, Y: 16.000, Z: 0.000, r: 1.000, g: 0.000, b: 0.000
X: -3.900, Y: 15.210, Z: 0.000, r: 1.000, g: 0.000, b: 0.000
X: -3.800, Y: 14.440, Z: 0.000, r: 1.000, g: 0.000, b: 0.000
X: -3.700, Y: 13.690, Z: 0.000, r: 1.000, g: 0.000, b: 0.000
X: -3.600, Y: 12.960, Z: 0.000, r: 1.000, g: 0.000, b: 0.000
X: -3.500, Y: 12.250, Z: 0.000, r: 1.000, g: 0.000, b: 0.000
X: -3.400, Y: 11.560, Z: 0.000, r: 1.000, g: 0.000, b: 0.000
X: -3.300, Y: 10.890, Z: 0.000, r: 1.000, g: 0.000, b: 0.000
X: -3.200, Y: 10.240, Z: 0.000, r: 1.000, g: 0.000, b: 0.000
X: -3.100, Y: 9.610, Z: 0.000, r: 1.000, g: 0.000, b: 0.000
X: -3.000, Y: 9.000, Z: 0.000, r: 1.000, g: 0.000, b: 0.000
X: -2.900, Y: 8.410, Z: 0.000, r: 1.000, g: 0.000, b: 0.000
X: -2.800, Y: 7.840, Z: 0.000, r: 1.000, g: 0.000, b: 0.000
X: -2.700, Y: 7.290, Z: 0.000, r: 1.000, g: 0.000, b: 0.000
X: -2.600, Y: 6.760, Z: 0.000, r: 1.000, g: 0.000, b: 0.000
X: -2.500, Y: 6.250, Z: 0.000, r: 1.000, g: 0.000, b: 0.000
X: -2.400, Y: 5.760, Z: 0.000, r: 1.000, g: 0.000, b: 0.000
X: -2.300, Y: 5.290, Z: 0.000, r: 1.000, g: 0.000, b: 0.000
X: -2.200, Y: 4.840, Z: 0.000, r: 1.000, g: 0.000, b: 0.000
X: -2.100, Y: 4.410, Z: 0.000, r: 1.000, g: 0.000, b: 0.000
X: -2.000, Y: 4.000, Z: 0.000, r: 1.000, g: 0.000, b: 0.000
X: -1.900, Y: 3.610, Z: 0.000, r: 1.000, g: 0.000, b: 0.000
X: -1.800, Y: 3.240, Z: 0.000, r: 1.000, g: 0.000, b: 0.000
X: -1.700, Y: 2.890, Z: 0.000, r: 1.000, g: 0.000, b: 0.000
X: -1.600, Y: 2.560, Z: 0.000, r: 1.000, g: 0.000, b: 0.000
X: -1.500, Y: 2.250, Z: 0.000, r: 1.000, g: 0.000, b: 0.000
X: -1.400, Y: 1.960, Z: 0.000, r: 1.000, g: 0.000, b: 0.000
X: -1.300, Y: 1.690, Z: 0.000, r: 1.000, g: 0.000, b: 0.000
X: -1.200, Y: 1.440, Z: 0.000, r: 1.000, g: 0.000, b: 0.000
X: -1.100, Y: 1.210, Z: 0.000, r: 1.000, g: 0.000, b: 0.000
X: -1.000, Y: 1.000, Z: 0.000, r: 1.000, g: 0.000, b: 0.000
X: -0.900, Y: 0.810, Z: 0.000, r: 1.000, g: 0.000, b: 0.000
X: -0.800, Y: 0.640, Z: 0.000, r: 1.000, g: 0.000, b: 0.000
X: -0.700, Y: 0.490, Z: 0.000, r: 1.000, g: 0.000, b: 0.000
X: -0.600, Y: 0.360, Z: 0.000, r: 1.000, g: 0.000, b: 0.000
X: -0.500, Y: 0.250, Z: 0.000, r: 1.000, g: 0.000, b: 0.000
X: -0.400, Y: 0.160, Z: 0.000, r: 1.000, g: 0.000, b: 0.000
X: -0.300, Y: 0.090, Z: 0.000, r: 1.000, g: 0.000, b: 0.000
X: -0.200, Y: 0.040, Z: 0.000, r: 1.000, g: 0.000, b: 0.000
X: -0.100, Y: 0.010, Z: 0.000, r: 1.000, g: 0.000, b: 0.000
X: 0.000, Y: 0.000, Z: 0.000, r: 0.000, g: 1.000, b: 0.000
X: 0.100, Y: 0.010, Z: 0.000, r: 0.000, g: 1.000, b: 0.000
X: 0.200, Y: 0.040, Z: 0.000, r: 0.000, g: 1.000, b: 0.000
X: 0.300, Y: 0.090, Z: 0.000, r: 0.000, g: 1.000, b: 0.000
X: 0.400, Y: 0.160, Z: 0.000, r: 0.000, g: 1.000, b: 0.000
X: 0.500, Y: 0.250, Z: 0.000, r: 0.000, g: 1.000, b: 0.000
X: 0.600, Y: 0.360, Z: 0.000, r: 0.000, g: 1.000, b: 0.000
X: 0.700, Y: 0.490, Z: 0.000, r: 0.000, g: 1.000, b: 0.000
X: 0.800, Y: 0.640, Z: 0.000, r: 0.000, g: 1.000, b: 0.000
X: 0.900, Y: 0.810, Z: 0.000, r: 0.000, g: 1.000, b: 0.000
X: 1.000, Y: 1.000, Z: 0.000, r: 0.000, g: 1.000, b: 0.000
X: 1.100, Y: 1.210, Z: 0.000, r: 0.000, g: 1.000, b: 0.000
X: 1.200, Y: 1.440, Z: 0.000, r: 0.000, g: 1.000, b: 0.000
X: 1.300, Y: 1.690, Z: 0.000, r: 0.000, g: 1.000, b: 0.000
X: 1.400, Y: 1.960, Z: 0.000, r: 0.000, g: 1.000, b: 0.000
X: 1.500, Y: 2.250, Z: 0.000, r: 0.000, g: 1.000, b: 0.000
X: 1.600, Y: 2.560, Z: 0.000, r: 0.000, g: 1.000, b: 0.000
X: 1.700, Y: 2.890, Z: 0.000, r: 0.000, g: 1.000, b: 0.000
X: 1.800, Y: 3.240, Z: 0.000, r: 0.000, g: 1.000, b: 0.000
X: 1.900, Y: 3.610, Z: 0.000, r: 0.000, g: 1.000, b: 0.000
X: 2.000, Y: 4.000, Z: 0.000, r: 0.000, g: 1.000, b: 0.000
X: 2.100, Y: 4.410, Z: 0.000, r: 0.000, g: 1.000, b: 0.000
X: 2.200, Y: 4.840, Z: 0.000, r: 0.000, g: 1.000, b: 0.000
X: 2.300, Y: 5.290, Z: 0.000, r: 0.000, g: 1.000, b: 0.000
X: 2.400, Y: 5.760, Z: 0.000, r: 0.000, g: 1.000, b: 0.000
X: 2.500, Y: 6.250, Z: 0.000, r: 0.000, g: 1.000, b: 0.000
X: 2.600, Y: 6.760, Z: 0.000, r: 0.000, g: 1.000, b: 0.000
X: 2.700, Y: 7.290, Z: 0.000, r: 0.000, g: 1.000, b: 0.000
X: 2.800, Y: 7.840, Z: 0.000, r: 0.000, g: 1.000, b: 0.000
X: 2.900, Y: 8.410, Z: 0.000, r: 0.000, g: 1.000, b: 0.000
X: 3.000, Y: 9.000, Z: 0.000, r: 0.000, g: 1.000, b: 0.000
X: 3.100, Y: 9.610, Z: 0.000, r: 0.000, g: 1.000, b: 0.000
X: 3.200, Y: 10.240, Z: 0.000, r: 0.000, g: 1.000, b: 0.000
X: 3.300, Y: 10.890, Z: 0.000, r: 0.000, g: 1.000, b: 0.000
X: 3.400, Y: 11.560, Z: 0.000, r: 0.000, g: 1.000, b: 0.000
X: 3.500, Y: 12.250, Z: 0.000, r: 0.000, g: 1.000, b: 0.000
X: 3.600, Y: 12.960, Z: 0.000, r: 0.000, g: 1.000, b: 0.000
X: 3.700, Y: 13.690, Z: 0.000, r: 0.000, g: 1.000, b: 0.000
X: 3.800, Y: 14.440, Z: 0.000, r: 0.000, g: 1.000, b: 0.000
X: 3.900, Y: 15.210, Z: 0.000, r: 0.000, g: 1.000, b: 0.000
X: 4.000, Y: 16.000, Z: 0.000, r: 0.000, g: 1.000, b: 0.000
X: 4.100, Y: 16.810, Z: 0.000, r: 0.000, g: 1.000, b: 0.000
X: 4.200, Y: 17.640, Z: 0.000, r: 0.000, g: 1.000, b: 0.000
X: 4.300, Y: 18.490, Z: 0.000, r: 0.000, g: 1.000, b: 0.000
X: 4.400, Y: 19.360, Z: 0.000, r: 0.000, g: 1.000, b: 0.000
X: 4.500, Y: 20.250, Z: 0.000, r: 0.000, g: 1.000, b: 0.000
X: 4.600, Y: 21.160, Z: 0.000, r: 0.000, g: 1.000, b: 0.000
X: 4.700, Y: 22.090, Z: 0.000, r: 0.000, g: 1.000, b: 0.000
X: 4.800, Y: 23.040, Z: 0.000, r: 0.000, g: 1.000, b: 0.000
X: 4.900, Y: 24.010, Z: 0.000, r: 0.000, g: 1.000, b: 0.000
X: 5.000, Y: 25.000, Z: 0.000, r: 0.000, g: 1.000, b: 0.000
