Antall datapunkter: 100
X: 1.000, Y: 0.000, Z: 0.000, r: 1.000, g: 1.000, b: 1.000
X: 0.995, Y: 0.100, Z: 0.100, r: 1.000, g: 1.000, b: 1.000
X: 0.980, Y: 0.200, Z: 0.199, r: 1.000, g: 1.000, b: 1.000
X: 0.955, Y: 0.300, Z: 0.296, r: 1.000, g: 1.000, b: 1.000
X: 0.921, Y: 0.400, Z: 0.389, r: 1.000, g: 1.000, b: 1.000
X: 0.878, Y: 0.500, Z: 0.479, r: 1.000, g: 1.000, b: 1.000
X: 0.825, Y: 0.600, Z: 0.565, r: 1.000, g: 1.000, b: 1.000
X: 0.765, Y: 0.700, Z: 0.644, r: 1.000, g: 1.000, b: 1.000
X: 0.697, Y: 0.800, Z: 0.717, r: 1.000, g: 1.000, b: 1.000
X: 0.622, Y: 0.900, Z: 0.783, r: 1.000, g: 1.000, b: 1.000
X: 0.540, Y: 1.000, Z: 0.841, r: 1.000, g: 1.000, b: 1.000
X: 0.454, Y: 1.100, Z: 0.891, r: 1.000, g: 1.000, b: 1.000
X: 0.362, Y: 1.200, Z: 0.932, r: 1.000, g: 1.000, b: 1.000
X: 0.267, Y: 1.300, Z: 0.964, r: 1.000, g: 1.000, b: 1.000
X: 0.170, Y: 1.400, Z: 0.985, r: 1.000, g: 1.000, b: 1.000
X: 0.071, Y: 1.500, Z: 0.997, r: 1.000, g: 1.000, b: 1.000
X: -0.029, Y: 1.600, Z: 1.000, r: 1.000, g: 1.000, b: 1.000
X: -0.129, Y: 1.700, Z: 0.992, r: 1.000, g: 1.000, b: 1.000
X: -0.227, Y: 1.800, Z: 0.974, r: 1.000, g: 1.000, b: 1.000
X: -0.323, Y: 1.900, Z: 0.946, r: 1.000, g: 1.000, b: 1.000
X: -0.416, Y: 2.000, Z: 0.909, r: 1.000, g: 1.000, b: 1.000
X: -0.505, Y: 2.100, Z: 0.863, r: 1.000, g: 1.000, b: 1.000
X: -0.589, Y: 2.200, Z: 0.808, r: 1.000, g: 1.000, b: 1.000
X: -0.666, Y: 2.300, Z: 0.746, r: 1.000, g: 1.000, b: 1.000
X: -0.737, Y: 2.400, Z: 0.675, r: 1.000, g: 1.000, b: 1.000
X: -0.801, Y: 2.500, Z: 0.598, r: 1.000, g: 1.000, b: 1.000
X: -0.857, Y: 2.600, Z: 0.516, r: 1.000, g: 1.000, b: 1.000
X: -0.904, Y: 2.700, Z: 0.427, r: 1.000, g: 1.000, b: 1.000
X: -0.942, Y: 2.800, Z: 0.335, r: 1.000, g: 1.000, b: 1.000
X: -0.971, Y: 2.900, Z: 0.239, r: 1.000, g: 1.000, b: 1.000
X: -0.990, Y: 3.000, Z: 0.141, r: 1.000, g: 1.000, b: 1.000
X: -0.999, Y: 3.100, Z: 0.042, r: 1.000, g: 1.000, b: 1.000
